src_id,dst_id,edge_id,start_time,end_time,label,probability
30,48382,151,1494663180,1494794383,1,0.9933021068572998
106,8540,78,1494635755,1494835958,1,0.9965393543243408
106,8540,149,1498383835,1498499059,0,0.9875416159629822
106,20816,65,1494661105,1494827593,1,0.9999760389328004
106,28905,19,1494634666,1494767554,1,0.999439775943756
106,28905,171,1497643549,1497824035,0,0.999974012374878
106,28905,242,1494590891,1494815231,1,0.9999760389328004
106,60168,33,1494594182,1494816639,1,0.9996787309646606
106,64560,74,1494654474,1494772472,1,0.9998612403869628
106,51786,108,1494597706,1494766101,0,0.2885702848434448
229,28905,65,1494600033,1494807934,1,0.9998898506164552
229,24137,65,1494584615,1494800936,0,0.9986417889595032
330,28905,150,1494583924,1494784474,1,0.9995725750923156
330,59884,221,1494586606,1494795314,1,0.9843915700912476
760,29023,101,1496723916,1496907315,0,0.4113810360431671
760,9892,101,1494589054,1494784966,0,0.916516125202179
1127,28905,159,1496283889,1496535961,0,0.9998716115951538
1280,11587,25,1494653855,1494779834,0,0.9941003918647766
1280,28905,8,1496852711,1497021722,0,0.9999985694885254
1280,30926,139,1498733984,1498868997,0,0.2632597982883453
1309,69189,176,1498164251,1498283456,0,0.9649755954742432
1555,45285,74,1494580275,1494808064,0,0.5842172503471375
1555,5061,74,1494658636,1494818453,1,0.9097340106964112
1584,45285,234,1494649147,1494761585,1,0.9999098777770996
1584,27718,234,1495293226,1495466599,0,0.992194652557373
1746,28905,71,1495376845,1495524358,0,0.9999451637268066
1746,45285,71,1496332279,1496512644,0,0.9998440742492676
1763,28905,116,1494627765,1494798621,1,0.9998998641967772
1763,28905,129,1494583625,1494783724,1,0.9993960857391356
1763,45285,116,1494651591,1494808680,1,0.999610960483551
1763,48603,129,1494605978,1494796204,0,0.9876476526260376
1763,28905,245,1497572250,1497713987,0,0.9997978806495668
1893,28905,20,1494599155,1494813827,0,0.9992910623550416
1893,11754,33,1494641603,1494794578,0,0.9844547510147096
1948,28905,151,1497480238,1497592272,0,0.9999996423721312
2032,29583,198,1494582590,1494828039,1,0.9708881974220276
2146,28567,242,1494657442,1494821336,1,0.6043735146522522
2438,28905,65,1494593262,1494761425,1,0.999504566192627
2867,9780,20,1494636960,1494802764,0,0.9932346940040588
2867,65912,150,1497495980,1497670054,0,0.9906344413757324
2867,45285,164,1494661265,1494826648,0,0.9997723698616028
2867,52584,20,1494598032,1494830156,1,0.9996384382247924
2867,52584,198,1494652774,1494787420,1,0.9968000650405884
2867,68924,78,1494630999,1494825427,1,0.9989282488822936
2880,27718,65,1494602982,1494801420,1,0.9995203018188475
2880,27718,99,1494605830,1494815687,1,0.9961674809455872
2880,28905,8,1494664548,1494819301,1,0.9999998807907104
2880,62565,93,1498651820,1498813445,0,0.3910522162914276
2880,28905,151,1494584832,1494758189,1,0.9999998807907104
2880,45285,65,1494604100,1494805120,1,0.9999991655349731
2880,63492,204,1494584922,1494818346,1,0.9978074431419371
2976,28905,176,1494601959,1494757872,1,0.9999815225601196
2976,28905,197,1497311612,1497546667,0,0.999947428703308
3022,29828,243,1494609902,1494797655,0,0.9972732663154602
3388,28905,110,1494597060,1494806601,1,0.9987229704856871
3388,10100,178,1494602023,1494807178,0,0.8990355134010315
3388,66409,129,1494606179,1494803791,1,0.9741148948669434
3388,66409,178,1494644919,1494781332,1,0.988298773765564
3427,28905,20,1494648366,1494777901,0,0.9998494386672974
3464,28905,74,1494662773,1494816805,1,0.999994158744812
